((22,23),(19,2)); 74
((22,23),(19,3)); 79
((22,23),(19,4)); 73
((22,23),(19,5)); 79
((22,23),(19,6)); 76
((22,23),(19,7)); 77
((22,23),(19,8)); 78
((22,23),(19,9)); 77
((22,23),(19,20)); 202
((22,23),(19,21)); 176
((22,23),(0,1)); 40
((22,23),(0,2)); 42
((22,23),(0,3)); 39
((22,23),(0,4)); 42
((22,23),(0,5)); 46
((22,23),(0,6)); 42
((22,23),(0,7)); 44
((22,23),(0,8)); 39
((22,23),(0,9)); 37
((22,23),(0,20)); 44
((22,23),(0,21)); 41
((22,23),(1,2)); 387
((22,23),(1,3)); 372
((22,23),(1,4)); 385
((22,23),(1,5)); 385
((22,23),(1,6)); 372
((22,23),(1,7)); 385
((22,23),(1,8)); 343
((22,23),(1,9)); 364
((22,23),(1,20)); 95
((22,23),(1,21)); 92
((22,23),(2,3)); 371
((22,23),(2,4)); 386
((22,23),(2,5)); 384
((22,23),(2,6)); 368
((22,23),(2,7)); 386
((22,23),(2,8)); 344
((22,23),(2,9)); 365
((22,23),(2,20)); 92
((22,23),(2,21)); 90
((22,23),(3,4)); 369
((22,23),(3,5)); 366
((22,23),(3,6)); 369
((22,23),(3,7)); 374
((22,23),(3,8)); 343
((22,23),(3,9)); 384
((22,23),(3,20)); 95
((22,23),(3,21)); 91
((22,23),(4,5)); 386
((22,23),(4,6)); 369
((22,23),(4,7)); 386
((22,23),(4,8)); 341
((22,23),(4,9)); 367
((22,23),(4,20)); 94
((22,23),(4,21)); 90
((22,23),(5,6)); 366
((22,23),(5,7)); 388
((22,23),(5,8)); 345
((22,23),(5,9)); 366
((22,23),(5,20)); 99
((22,23),(5,21)); 93
((22,23),(6,7)); 368
((22,23),(6,8)); 343
((22,23),(6,9)); 368
((22,23),(6,20)); 94
((22,23),(6,21)); 92
((22,23),(7,8)); 341
((22,23),(7,9)); 371
((22,23),(7,20)); 94
((22,23),(7,21)); 92
((22,23),(8,9)); 338
((22,23),(8,20)); 96
((22,23),(8,21)); 92
((22,23),(9,20)); 90
((22,23),(9,21)); 87
((22,23),(20,21)); 355
((22,24),(23,25)); 740
((22,24),(23,10)); 255
((22,24),(23,11)); 251
((22,24),(23,12)); 254
((22,24),(23,13)); 254
((22,24),(23,14)); 696
((22,24),(23,15)); 387
((22,24),(23,16)); 411
((22,24),(23,17)); 882
((22,24),(23,18)); 465
((22,24),(23,19)); 857
((22,24),(23,0)); 100
((22,24),(23,1)); 259
((22,24),(23,2)); 255
((22,24),(23,3)); 258
((22,24),(23,4)); 254
((22,24),(23,5)); 257
((22,24),(23,6)); 256
((22,24),(23,7)); 259
((22,24),(23,8)); 255
((22,24),(23,9)); 257
((22,24),(23,20)); 483
((22,24),(23,21)); 459
((22,24),(25,10)); 245
((22,24),(25,11)); 239
((22,24),(25,12)); 242
((22,24),(25,13)); 246
((22,24),(25,14)); 772
((22,24),(25,15)); 397
((22,24),(25,16)); 413
((22,24),(25,17)); 725
((22,24),(25,18)); 453
((22,24),(25,19)); 716
((22,24),(25,0)); 118
((22,24),(25,1)); 248
((22,24),(25,2)); 245
((22,24),(25,3)); 246
((22,24),(25,4)); 246
((22,24),(25,5)); 248
((22,24),(25,6)); 249
((22,24),(25,7)); 250
((22,24),(25,8)); 242
((22,24),(25,9)); 248
((22,24),(25,20)); 481
((22,24),(25,21)); 454
((22,24),(10,11)); 358
((22,24),(10,12)); 359
((22,24),(10,13)); 374
((22,24),(10,14)); 231
((22,24),(10,15)); 153
((22,24),(10,16)); 155
((22,24),(10,17)); 253
((22,24),(10,18)); 195
((22,24),(10,19)); 241
((22,24),(10,0)); 59
((22,24),(10,1)); 395
((22,24),(10,2)); 398
((22,24),(10,3)); 386
((22,24),(10,4)); 401
((22,24),(10,5)); 398
((22,24),(10,6)); 384
((22,24),(10,7)); 399
((22,24),(10,8)); 356
((22,24),(10,9)); 385
((22,24),(10,20)); 218
((22,24),(10,21)); 216
((22,24),(11,12)); 364
((22,24),(11,13)); 358
((22,24),(11,14)); 223
((22,24),(11,15)); 152
((22,24),(11,16)); 155
((22,24),(11,17)); 250
((22,24),(11,18)); 193
((22,24),(11,19)); 237
((22,24),(11,0)); 54
((22,24),(11,1)); 367
((22,24),(11,2)); 367
((22,24),(11,3)); 366
((22,24),(11,4)); 361
((22,24),(11,5)); 368
((22,24),(11,6)); 357
((22,24),(11,7)); 359
((22,24),(11,8)); 368
((22,24),(11,9)); 362
((22,24),(11,20)); 216
((22,24),(11,21)); 207
((22,24),(12,13)); 355
((22,24),(12,14)); 234
((22,24),(12,15)); 157
((22,24),(12,16)); 162
((22,24),(12,17)); 255
((22,24),(12,18)); 201
((22,24),(12,19)); 237
((22,24),(12,0)); 54
((22,24),(12,1)); 361
((22,24),(12,2)); 362
((22,24),(12,3)); 365
((22,24),(12,4)); 360
((22,24),(12,5)); 365
((22,24),(12,6)); 359
((22,24),(12,7)); 359
((22,24),(12,8)); 364
((22,24),(12,9)); 357
((22,24),(12,20)); 220
((22,24),(12,21)); 214
((22,24),(13,14)); 233
((22,24),(13,15)); 152
((22,24),(13,16)); 158
((22,24),(13,17)); 253
((22,24),(13,18)); 199
((22,24),(13,19)); 239
((22,24),(13,0)); 60
((22,24),(13,1)); 383
((22,24),(13,2)); 386
((22,24),(13,3)); 390
((22,24),(13,4)); 378
((22,24),(13,5)); 380
((22,24),(13,6)); 380
((22,24),(13,7)); 380
((22,24),(13,8)); 358
((22,24),(13,9)); 385
((22,24),(13,20)); 215
((22,24),(13,21)); 215
((22,24),(14,15)); 377
((22,24),(14,16)); 387
((22,24),(14,17)); 690
((22,24),(14,18)); 438
((22,24),(14,19)); 681
((22,24),(14,0)); 112
((22,24),(14,1)); 236
((22,24),(14,2)); 231
((22,24),(14,3)); 237
((22,24),(14,4)); 232
((22,24),(14,5)); 237
((22,24),(14,6)); 238
((22,24),(14,7)); 237
((22,24),(14,8)); 232
((22,24),(14,9)); 236
((22,24),(14,20)); 461
((22,24),(14,21)); 445
((22,24),(15,16)); 940
((22,24),(15,17)); 385
((22,24),(15,18)); 530
((22,24),(15,19)); 393
((22,24),(15,0)); 68
((22,24),(15,1)); 155
((22,24),(15,2)); 152
((22,24),(15,3)); 154
((22,24),(15,4)); 153
((22,24),(15,5)); 157
((22,24),(15,6)); 157
((22,24),(15,7)); 156
((22,24),(15,8)); 151
((22,24),(15,9)); 152
((22,24),(15,20)); 468
((22,24),(15,21)); 555
((22,24),(16,17)); 410
((22,24),(16,18)); 563
((22,24),(16,19)); 411
((22,24),(16,0)); 76
((22,24),(16,1)); 157
((22,24),(16,2)); 155
((22,24),(16,3)); 161
((22,24),(16,4)); 156
((22,24),(16,5)); 160
((22,24),(16,6)); 163
((22,24),(16,7)); 160
((22,24),(16,8)); 156
((22,24),(16,9)); 159
((22,24),(16,20)); 501
((22,24),(16,21)); 570
((22,24),(17,18)); 458
((22,24),(17,19)); 834
((22,24),(17,0)); 102
((22,24),(17,1)); 258
((22,24),(17,2)); 254
((22,24),(17,3)); 257
((22,24),(17,4)); 252
((22,24),(17,5)); 256
((22,24),(17,6)); 254
((22,24),(17,7)); 257
((22,24),(17,8)); 254
((22,24),(17,9)); 256
((22,24),(17,20)); 486
((22,24),(17,21)); 464
((22,24),(18,19)); 455
((22,24),(18,0)); 82
((22,24),(18,1)); 198
((22,24),(18,2)); 195
((22,24),(18,3)); 198
((22,24),(18,4)); 194
((22,24),(18,5)); 201
((22,24),(18,6)); 201
((22,24),(18,7)); 199
((22,24),(18,8)); 198
((22,24),(18,9)); 197
((22,24),(18,20)); 550
((22,24),(18,21)); 553
((22,24),(19,0)); 103
((22,24),(19,1)); 245
((22,24),(19,2)); 241
((22,24),(19,3)); 244
((22,24),(19,4)); 239
((22,24),(19,5)); 243
((22,24),(19,6)); 241
((22,24),(19,7)); 244
((22,24),(19,8)); 239
((22,24),(19,9)); 242
((22,24),(19,20)); 475
((22,24),(19,21)); 454
((22,24),(0,1)); 58
((22,24),(0,2)); 59
((22,24),(0,3)); 57
((22,24),(0,4)); 60
((22,24),(0,5)); 65
((22,24),(0,6)); 61
((22,24),(0,7)); 63
((22,24),(0,8)); 54
((22,24),(0,9)); 59
((22,24),(0,20)); 91
((22,24),(0,21)); 104
((22,24),(1,2)); 403
((22,24),(1,3)); 391
((22,24),(1,4)); 403
((22,24),(1,5)); 405
((22,24),(1,6)); 389
((22,24),(1,7)); 405
((22,24),(1,8)); 361
((22,24),(1,9)); 384
((22,24),(1,20)); 219
((22,24),(1,21)); 214
((22,24),(2,3)); 393
((22,24),(2,4)); 405
((22,24),(2,5)); 407
((22,24),(2,6)); 386
((22,24),(2,7)); 406
((22,24),(2,8)); 364
((22,24),(2,9)); 386
((22,24),(2,20)); 217
((22,24),(2,21)); 214
((22,24),(3,4)); 390
((22,24),(3,5)); 391
((22,24),(3,6)); 389
((22,24),(3,7)); 394
((22,24),(3,8)); 359
((22,24),(3,9)); 402
((22,24),(3,20)); 217
((22,24),(3,21)); 215
((22,24),(4,5)); 409
((22,24),(4,6)); 388
((22,24),(4,7)); 407
((22,24),(4,8)); 362
((22,24),(4,9)); 390
((22,24),(4,20)); 219
((22,24),(4,21)); 214
((22,24),(5,6)); 385
((22,24),(5,7)); 410
((22,24),(5,8)); 367
((22,24),(5,9)); 390
((22,24),(5,20)); 224
((22,24),(5,21)); 220
((22,24),(6,7)); 385
((22,24),(6,8)); 364
((22,24),(6,9)); 389
((22,24),(6,20)); 218
((22,24),(6,21)); 215
((22,24),(7,8)); 360
((22,24),(7,9)); 394
((22,24),(7,20)); 221
((22,24),(7,21)); 219
((22,24),(8,9)); 358
((22,24),(8,20)); 214
((22,24),(8,21)); 213
((22,24),(9,20)); 213
((22,24),(9,21)); 214
((22,24),(20,21)); 541
((22,25),(23,24)); 230
((22,25),(23,10)); 82
((22,25),(23,11)); 76
((22,25),(23,12)); 85
((22,25),(23,13)); 81
((22,25),(23,14)); 361
((22,25),(23,15)); 231
((22,25),(23,16)); 240
((22,25),(23,17)); 733
((22,25),(23,18)); 228
((22,25),(23,19)); 675
((22,25),(23,0)); 31
((22,25),(23,1)); 85
((22,25),(23,2)); 81
((22,25),(23,3)); 87
((22,25),(23,4)); 82
((22,25),(23,5)); 88
((22,25),(23,6)); 84
((22,25),(23,7)); 88
((22,25),(23,8)); 84
((22,25),(23,9)); 86
((22,25),(23,20)); 221
((22,25),(23,21)); 207
((22,25),(24,10)); 83
((22,25),(24,11)); 79
((22,25),(24,12)); 87
((22,25),(24,13)); 80
((22,25),(24,14)); 191
((22,25),(24,15)); 775
((22,25),(24,16)); 748
((22,25),(24,17)); 220
((22,25),(24,18)); 458
((22,25),(24,19)); 209
((22,25),(24,0)); 41
((22,25),(24,1)); 86
((22,25),(24,2)); 84
((22,25),(24,3)); 88
((22,25),(24,4)); 85
((22,25),(24,5)); 89
((22,25),(24,6)); 86
((22,25),(24,7)); 88
((22,25),(24,8)); 84
((22,25),(24,9)); 86
((22,25),(24,20)); 379
((22,25),(24,21)); 498
((22,25),(10,11)); 337
((22,25),(10,12)); 344
((22,25),(10,13)); 369
((22,25),(10,14)); 95
((22,25),(10,15)); 80
((22,25),(10,16)); 79
((22,25),(10,17)); 83
((22,25),(10,18)); 84
((22,25),(10,19)); 80
((22,25),(10,0)); 48
((22,25),(10,1)); 381
((22,25),(10,2)); 386
((22,25),(10,3)); 372
((22,25),(10,4)); 391
((22,25),(10,5)); 385
((22,25),(10,6)); 372
((22,25),(10,7)); 389
((22,25),(10,8)); 343
((22,25),(10,9)); 369
((22,25),(10,20)); 91
((22,25),(10,21)); 81
((22,25),(11,12)); 343
((22,25),(11,13)); 342
((22,25),(11,14)); 91
((22,25),(11,15)); 79
((22,25),(11,16)); 77
((22,25),(11,17)); 80
((22,25),(11,18)); 85
((22,25),(11,19)); 74
((22,25),(11,0)); 42
((22,25),(11,1)); 346
((22,25),(11,2)); 346
((22,25),(11,3)); 349
((22,25),(11,4)); 341
((22,25),(11,5)); 348
((22,25),(11,6)); 338
((22,25),(11,7)); 341
((22,25),(11,8)); 351
((22,25),(11,9)); 343
((22,25),(11,20)); 88
((22,25),(11,21)); 80
((22,25),(12,13)); 341
((22,25),(12,14)); 97
((22,25),(12,15)); 86
((22,25),(12,16)); 85
((22,25),(12,17)); 88
((22,25),(12,18)); 94
((22,25),(12,19)); 85
((22,25),(12,0)); 44
((22,25),(12,1)); 345
((22,25),(12,2)); 347
((22,25),(12,3)); 348
((22,25),(12,4)); 346
((22,25),(12,5)); 346
((22,25),(12,6)); 344
((22,25),(12,7)); 349
((22,25),(12,8)); 344
((22,25),(12,9)); 341
((22,25),(12,20)); 99
((22,25),(12,21)); 88
((22,25),(13,14)); 95
((22,25),(13,15)); 80
((22,25),(13,16)); 80
((22,25),(13,17)); 84
((22,25),(13,18)); 86
((22,25),(13,19)); 81
((22,25),(13,0)); 50
((22,25),(13,1)); 375
((22,25),(13,2)); 378
((22,25),(13,3)); 376
((22,25),(13,4)); 372
((22,25),(13,5)); 371
((22,25),(13,6)); 373
((22,25),(13,7)); 375
((22,25),(13,8)); 349
((22,25),(13,9)); 371
((22,25),(13,20)); 90
((22,25),(13,21)); 83
((22,25),(14,15)); 195
((22,25),(14,16)); 205
((22,25),(14,17)); 369
((22,25),(14,18)); 185
((22,25),(14,19)); 358
((22,25),(14,0)); 45
((22,25),(14,1)); 100
((22,25),(14,2)); 96
((22,25),(14,3)); 98
((22,25),(14,4)); 97
((22,25),(14,5)); 99
((22,25),(14,6)); 98
((22,25),(14,7)); 101
((22,25),(14,8)); 98
((22,25),(14,9)); 97
((22,25),(14,20)); 219
((22,25),(14,21)); 192
((22,25),(15,16)); 822
((22,25),(15,17)); 216
((22,25),(15,18)); 474
((22,25),(15,19)); 224
((22,25),(15,0)); 41
((22,25),(15,1)); 83
((22,25),(15,2)); 81
((22,25),(15,3)); 87
((22,25),(15,4)); 81
((22,25),(15,5)); 85
((22,25),(15,6)); 84
((22,25),(15,7)); 83
((22,25),(15,8)); 83
((22,25),(15,9)); 83
((22,25),(15,20)); 368
((22,25),(15,21)); 481
((22,25),(16,17)); 229
((22,25),(16,18)); 478
((22,25),(16,19)); 225
((22,25),(16,0)); 40
((22,25),(16,1)); 82
((22,25),(16,2)); 80
((22,25),(16,3)); 87
((22,25),(16,4)); 80
((22,25),(16,5)); 83
((22,25),(16,6)); 84
((22,25),(16,7)); 82
((22,25),(16,8)); 82
((22,25),(16,9)); 83
((22,25),(16,20)); 384
((22,25),(16,21)); 477
((22,25),(17,18)); 220
((22,25),(17,19)); 642
((22,25),(17,0)); 34
((22,25),(17,1)); 87
((22,25),(17,2)); 84
((22,25),(17,3)); 90
((22,25),(17,4)); 83
((22,25),(17,5)); 90
((22,25),(17,6)); 85
((22,25),(17,7)); 89
((22,25),(17,8)); 89
((22,25),(17,9)); 87
((22,25),(17,20)); 223
((22,25),(17,21)); 209
((22,25),(18,19)); 211
((22,25),(18,0)); 30
((22,25),(18,1)); 88
((22,25),(18,2)); 86
((22,25),(18,3)); 90
((22,25),(18,4)); 85
((22,25),(18,5)); 92
((22,25),(18,6)); 89
((22,25),(18,7)); 90
((22,25),(18,8)); 91
((22,25),(18,9)); 88
((22,25),(18,20)); 374
((22,25),(18,21)); 415
((22,25),(19,0)); 33
((22,25),(19,1)); 84
((22,25),(19,2)); 81
((22,25),(19,3)); 88
((22,25),(19,4)); 80
((22,25),(19,5)); 87
((22,25),(19,6)); 81
((22,25),(19,7)); 86
((22,25),(19,8)); 83
((22,25),(19,9)); 86
((22,25),(19,20)); 222
((22,25),(19,21)); 186
((22,25),(0,1)); 48
((22,25),(0,2)); 49
((22,25),(0,3)); 46
((22,25),(0,4)); 50
((22,25),(0,5)); 54
((22,25),(0,6)); 51
((22,25),(0,7)); 51
((22,25),(0,8)); 45
((22,25),(0,9)); 45
((22,25),(0,20)); 41
((22,25),(0,21)); 40
((22,25),(1,2)); 391
((22,25),(1,3)); 374
((22,25),(1,4)); 390
((22,25),(1,5)); 389
((22,25),(1,6)); 376
((22,25),(1,7)); 390
((22,25),(1,8)); 348
((22,25),(1,9)); 366
((22,25),(1,20)); 93
((22,25),(1,21)); 85
((22,25),(2,3)); 375
((22,25),(2,4)); 392
((22,25),(2,5)); 392
