# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        6.457       17.172
       2.002       99.900       58.273       68.996
       4.003       99.900       59.035       69.055
       6.006       99.900       59.035       69.055
       8.008       99.900       59.035       69.055
      10.010       99.900       59.035       69.055
      12.012      100.400       59.035       69.055
      14.014       99.900       59.035       69.055
      16.016       99.900       59.035       69.055
      18.017       99.900       59.035       69.441
      20.019       99.900       59.035       69.441
      22.021      100.400       59.035       69.441
      24.022      100.000       59.035       69.441
      26.024       99.900       59.035       69.441
      28.026       99.900       59.035       69.441
      30.028       99.900       59.035       69.441
      32.030       99.900       59.035       69.441
