# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000        1.746       13.820
       2.001       98.900       58.246       68.992
       4.004       99.900       58.996       69.242
       6.006       99.900       58.996       69.242
       8.008       99.900       58.996       69.242
      10.010       99.900       58.996       69.242
      12.012      100.400       58.996       69.242
      14.013      100.000       58.996       69.242
      16.016       99.900       58.996       69.242
      18.018       99.900       58.996       69.242
      20.020       99.900       58.996       69.242
      22.022      100.400       58.996       69.410
      24.024       99.400       58.996       69.410
      26.027      100.400       58.996       69.410
      28.029       99.900       58.996       69.410
      30.031       99.900       58.996       69.410
      32.033       99.900       58.996       69.410
