# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.000        0.000       38.973    19315.520
       2.001      188.900     1005.312    20420.633
       4.003      100.900     1005.711    20420.633
       6.005       99.900      998.781    20420.633
       8.007       99.900      998.781    20420.633
      10.009      100.900      998.781    20420.633
      12.012      104.900     1003.680    20420.633
      14.013      101.000     1003.680    20420.633
      16.015       99.900     1003.680    20420.633
      18.017      100.400     1003.680    20420.633
      20.019      161.900     1267.531    20880.727
      22.021      107.900     1267.531    20880.727
      24.023      107.400     1267.531    20880.727
      26.025      107.400     1267.531    20880.727
      28.027      106.900     1267.531    20880.727
      30.029      107.400     1267.531    20880.727
      32.031      102.400     1267.531    20880.727
      34.033      100.400     1267.531    20880.727
      36.035       99.900     1267.531    20880.727
      38.037      112.400     1310.070    20880.727
      40.039      108.900     1310.070    20880.727
      42.041      109.400     1310.070    20880.727
      44.043      109.400     1310.070    20880.727
      46.045      109.400     1310.070    20880.727
      48.048      109.400     1310.070    20880.727
      50.049      132.900     1350.148    20944.727
      52.051      117.400     1350.148    20944.727
      54.053      119.900     1350.148    20944.727
      56.054      117.900     1350.148    20944.727
      58.056      154.300     1350.789    20944.727
      60.057      145.000     1353.625    20944.727
      62.059      134.400     1350.383    20944.727
      64.061      115.400     1350.383    20944.727
      66.063      114.900     1350.383    20944.727
      68.065      114.900     1350.383    20944.727
      70.067      120.400     1351.156    20944.727
      72.069       99.900     1351.156    20944.727
      74.071      129.400     1377.934    20946.742
      76.073      124.400     1386.324    20946.742
      78.075      136.800     1386.324    20946.742
      80.077      131.900     1386.324    20946.742
      82.079      114.400     1386.324    20946.742
      84.081      112.900     1386.324    20946.742
      86.083      110.900     1386.324    20946.742
      88.085      106.900     1386.324    20946.742
      90.087      119.400     1397.152    20946.742
      92.089      177.300     1411.855    20946.742
      94.091      181.300     1412.113    20946.742
      96.093      183.400     1412.113    20946.742
      98.095      131.900     1683.711    20946.742
     100.097      161.300     1749.219    20946.742
     102.099      133.900     2140.062    20946.742
     104.100      108.400     2140.320    20946.742
     106.103      131.800     2140.578    20946.742
     108.105      131.400     2389.098    20946.742
     110.107      104.900     2555.902    20946.742
     112.109      134.300     2556.668    20946.742
     114.111       99.900     2556.668    20946.742
     116.113       99.900     2556.668    20946.742
     118.114      100.000     2556.668    20946.742
     120.116      100.400     2556.668    20946.742
     122.118       99.900     2556.668    20946.742
     124.121      101.900     2556.668    20946.742
     126.123       99.900     2556.668    20946.742
     128.125       99.900     2556.668    20946.742
     130.127      101.400     2556.668    20946.742
     132.129      100.400     2556.668    20946.742
     134.131       99.900     2556.668    20946.742
     136.134      101.900     2556.668    20946.742
     138.136      101.400     2556.668    20946.742
     140.138      100.400     2556.668    20946.742
     142.140      128.900     2563.363    20946.742
     144.142      102.900     2563.363    20946.742
     146.145      124.400     2563.879    20946.742
     148.147      111.400     2563.879    20946.742
     150.149      101.400     2563.879    20946.742
     152.152      125.400     2563.879    20946.742
     154.154      100.400     2563.879    20946.742
     156.156      105.400     2564.910    20946.742
     158.158      100.400     2564.910    20946.742
     160.161      132.400     2564.910    20946.742
     162.163      104.400     2565.160    20946.742
     164.165      100.400     2565.160    20946.742
     166.167      125.900     2565.410    20946.742
     168.170      102.900     2565.410    20946.742
     170.172       99.900     2565.410    20946.742
     172.174      133.800     2565.664    20946.742
     174.176       99.900     2565.664    20946.742
     176.178      100.400     2565.664    20946.742
     178.180       99.900     2565.664    20946.742
     180.183      125.900     2565.664    20946.742
     182.185      100.400     2565.664    20946.742
     184.187       99.900     2565.664    20946.742
     186.189       99.900     2565.664    20946.742
     188.191       99.900     2565.664    20946.742
     190.193      133.900     2565.664    20946.742
     192.194       99.900     2565.664    20946.742
     194.196       99.900     2565.664    20946.742
     196.198      126.400     2565.664    20946.742
     198.201       99.900     2565.664    20946.742
     200.203       99.900     2565.664    20946.742
     202.205      100.400     2565.664    20946.742
     204.207      107.900     2565.664    20946.742
     206.209      125.900     2566.184    21138.742
     208.211       99.900     2566.184    21138.742
     210.212      100.400     2566.363    21138.742
     212.215      126.400     2566.363    21138.742
     214.217      100.400     2566.363    21138.742
     216.219      100.900     2566.375    21138.742
     218.221      135.300     2566.375    21138.742
     220.224       99.900     2566.375    21138.742
     222.226       99.900     2566.375    21138.742
     224.228      100.400     2566.633    21138.742
     226.229      100.000     2566.633    21138.742
     228.231       99.900     2566.633    21138.742
     230.233      100.400     2566.633    21138.742
     232.235       99.900     2566.633    21138.742
     234.237      100.400     2566.633    21138.742
     236.239      126.900     2566.633    21138.742
     238.241      100.400     2566.633    21138.742
     240.244       99.900     2566.633    21138.742
     242.245      100.000     2566.633    21138.742
     244.247      100.400     2566.633    21138.742
     246.249       99.900     2566.633    21138.742
     248.251       99.900     2566.633    21138.742
     250.253      100.400     2566.633    21138.742
     252.253      133.400     2566.633    21138.742
     254.256       99.900     2566.633    21138.742
     256.258      100.400     2566.633    21138.742
     258.260       99.900     2566.633    21138.742
     260.262      124.900     2566.633    21138.742
     262.265      100.400     2566.633    21138.742
     264.267       99.900     2566.633    21138.742
     266.269      133.900     2566.633    21138.742
     268.271      100.400     2566.633    21138.742
     270.273       99.900     2566.633    21138.742
     272.276      100.400     2566.633    21138.742
     274.276      100.000     2566.633    21138.742
     276.279       99.900     2566.633    21138.742
     278.281      126.900     2566.633    21138.742
     280.283      100.400     2566.633    21138.742
     282.285       99.900     2566.633    21138.742
     284.287       99.900     2566.633    21138.742
     286.289       99.900     2566.633    21138.742
     288.291      100.400     2566.633    21138.742
     290.293      133.900     2566.633    21138.742
     292.295       99.900     2566.633    21138.742
     294.297      100.400     2566.633    21138.742
     296.299       99.900     2566.633    21138.742
     298.301      123.900     2566.633    21138.742
     300.303       99.900     2566.633    21138.742
     302.305      100.400     2566.633    21138.742
     304.307       99.900     2566.633    21138.742
     306.309       99.900     2566.633    21138.742
     308.311      133.400     2566.633    21138.742
     310.313      100.400     2566.633    21138.742
     312.315       99.900     2566.633    21138.742
     314.317       99.900     2566.633    21138.742
     316.320      100.400     2566.633    21138.742
     318.321      127.400     2566.805    21138.742
     320.322       99.900     2566.805    21138.742
     322.324       99.900     2566.805    21138.742
     324.325      133.400     2566.805    21138.742
     326.327       99.900     2566.805    21138.742
     328.330       99.900     2566.805    21138.742
     330.332      124.900     2566.805    21138.742
     332.333      100.500     2566.805    21138.742
     334.335       99.900     2566.805    21138.742
     336.337      100.400     2566.805    21138.742
     338.339      133.400     2566.805    21138.742
