(0.02905811623246493, 0.02905811623246493, 0.02905811623246493)
(0.23346693386773548, 0.23346693386773548, 0.23346693386773548)
(0.02004008016032064, 0.02004008016032064, 0.02004008016032064)
(0.03707414829659319, 0.03707414829659319, 0.03707414829659319)
(0.01903807615230461, 0.01903807615230461, 0.01903807615230461)
(0.05110220440881764, 0.05110220440881764, 0.05110220440881764)
(0.017034068136272545, 0.017034068136272545, 0.017034068136272545)
(0.1933867735470942, 0.1933867735470942, 0.1933867735470942)
(0.023046092184368736, 0.023046092184368736, 0.023046092184368736)
(0.01903807615230461, 0.01903807615230461, 0.01903807615230461)
(0.02404809619238477, 0.02404809619238477, 0.02404809619238477)
(0.02905811623246493, 0.02905811623246493, 0.02905811623246493)
(0.018036072144288578, 0.018036072144288578, 0.018036072144288578)
(0.021042084168336674, 0.021042084168336674, 0.021042084168336674)
(0.03206412825651302, 0.03206412825651302, 0.03206412825651302)
(0.047094188376753505, 0.047094188376753505, 0.047094188376753505)
(0.017034068136272545, 0.017034068136272545, 0.017034068136272545)
(0.03707414829659319, 0.03707414829659319, 0.03707414829659319)
(0.027054108216432865, 0.027054108216432865, 0.027054108216432865)
(0.025050100200400802, 0.025050100200400802, 0.025050100200400802)
(0.03206412825651302, 0.03206412825651302, 0.03206412825651302)
(0.017034068136272545, 0.017034068136272545, 0.017034068136272545)
